Cleaned_Dialogue,Positive/Negative,Song Recommendations
well tour guide don’t dinosaurexpert something,Negative,Toxicity
uh actually joey it’s cretasous period,Negative,Lose Yourself
guess frank jr alice got married,Negative,Savage Love (Laxed - Siren Beat)
ewww oh it’s—they want thesurrogate it’s herit’s egg sperm,Negative,goosebumps
yeah like you’re gonna pregnant mean pregnant,Negative,Radioactive
pheebs you’re talking putting body awful loti mean morning sickness uhh labour it’s somebody else,Negative,I Bet My Life
yknow guys lot supportive wanted make denimfurniture,Negative,Pull Me Under
yeah honey maybe talk somebody who’s baby likeyour mom,Negative,New Rules
right haven’t sex yet okay what’s bigdeal y’know special want love grow move thenext level,Negative,Bonfire
he’s right i’m totally lying,Negative,Royals
you’re afraid won’t able to…fill shoes,Negative,Daddy
i’m afraid won’t able make love well,Negative,Heathens
big deal joey’s lot girlfriends doesn’tmean he’s great bed,Negative,I Write Sins Not Tragedies
isn’t mastodon pliocene epic,Negative,Kaer Morhen
i’m sorry i’m late,Negative,I Bet My Life
oh ooh oh didn’t know did…pot,Negative,Toxicity
really don’t think it’s good idea phoebe,Negative,I Bet My Life
well yeah mean yeah three days,Negative,Into the Unknown - Panic! At The Disco Version
doctor wow didn’t know nickname,Negative,Beautiful Alien (feat. AI AM) - Radio Edit
ii think everybody’s pretending don’t hear anywaylook don’t know jackets separate tables ross isone best friends save seat i’m telling,Negative,Whatever It Takes
hey it’s mean scientists tour guides,Negative,You Just Haven't Thought of It Yet
eat alley everybody hates,Negative,The Hills
yeah we’re audience doesn’t talk us hedoes wave,Negative,Toxicity
ooh y’know think it’s time puppy go againcome let’s go balcony,Negative,Alors on danse - Radio Edit
fine y’know didn’t agree asstrongly agreed joey like see point,Negative,Bad Liar
look help okay mean know awoman y’know know everything goes it’s always nice need toknow makes go nice god somebody’s killing inthere,Negative,Heaven and Hell - 2008 Remaster
look don’t draw actual wo—whoa she’shot,Negative,Immigrant Song - Remaster
oh y’knowy’know looking upside,Negative,Toxicity
well might anything like 7,Negative,You Just Haven't Thought of It Yet
right uh important thing take time want hit‘em mix ‘em gotta keep toes,Negative,The Ballad of Mona Lisa
yknow work museum natural history yet somethingunnatural way eat lunch look around cafeteria y’knowwhat see seei see division division people white coats people inblue blazers ask god,Negative,Schism
i’m andrew didn’t pay pear,Negative,Royals
need flip light switch 17 timesbefore leave room family die,Negative,Cirice
mom’s gonna minute can’t ican’t give yes—no don’t want,Negative,Cirice
oo can’t watch it’s like,Negative,B.Y.O.B.
ooh can’t mom right can’tif ican’t give there’s way give baby ohh god frank andalice gonna crushed whatwhat else else give ‘em—akidney,Negative,Middle Of A Breakup
yeah thought we’d stop let know there’sstill pressure,Negative,Lose Yourself
oh god think i’m gonna cry,Negative,Immigrant Song - Remaster
nonono know different people though isa totally different situation know gonna regret,Negative,Can't Hold Us (feat. Ray Dalton)
oh iii understand it’s just—that mypuppy,Negative,Wrong
would ever surrogate anyone,Negative,Don't Panic
phoebe need support haven’t told himi’m pregnant yet,Negative,Into the Unknown - Panic! At The Disco Version
‘cause know he’s gonna flip hate he’sangry,Negative,Paranoid - 2012 - Remaster
phoebe wait one time caught smoking said ever sawme he’d make eat entire pack,Negative,Nightmare
oh god monica he’s stripper bacheloretteparty,Negative,Beautiful Alien (feat. AI AM) - Radio Edit
thought weren’t gonna bachelorbachelorette partiesy’know agreed silly tradition,Negative,Attention
i’m sorry surprised nothing could,Negative,Paranoid - 2012 - Remaster
well could’ve untied hands,Negative,New Rules
unfair one thing wanted throw best friend abachelor party wasn’t allowed got stupid steak dinner,Negative,Ain't No Rest for the Wicked
can’t believe didn’t tell,Negative,In Waves
order everyone moroccan chicken,Negative,Into the Unknown - Panic! At The Disco Version
oh ii don’t eat meat,Negative,Hall of Fame (feat. will.i.am)
yeah don’t eat either,Negative,All We Know
he’s right though ’74 absolute piss,Negative,Middle Of A Breakup
huge mistake can’t tell phoebe ican’t can’t can’t can’t…,Negative,Middle Of A Breakup
idea went bathroom sweetie startingto tell uh new,Negative,Houdini (feat. Swarmz & Tion Wayne)
uh mona how’s going,Negative,Calm Down
well i…i haven’t actually told yet don’t want toscare y’know,Negative,Heaven and Hell - 2008 Remaster
i’m gonna take book beat death,Negative,Duality
honey that’s crazy don’t want get astripper…,Negative,All We Know
look appreciate uh it’s little creepy y’knowi’m bachelor anymore,Negative,B.Y.O.B.
don’t think bachelor party think a…atwo month anniversary present,Negative,Sandstorm
please feel bad watch hot woman get naked,Negative,Animals
ah nonono ross ross joey embarrassing enough,Negative,Ain't No Rest for the Wicked
uh actually sorry can’t even make i’m seeing mona againtonight,Negative,Play with Fire (feat. Yacht Money)
understand would cancel actual date go fake bachelorparty,Negative,Then We'll Talk
i’m sorry won’t able make imaginarywedding i’m,Negative,I Write Sins Not Tragedies
know know panicked panicked didn’t want startyelling like ’74 latour,Negative,Paranoid - 2012 - Remaster
stay calm expect stay calm unacceptablerachel wanna know punk ross won’t marry youthat’s,Negative,Chop Suey!
yes yes says i’m damaged goods,Negative,Eye For an Eye
uh nervous getting married,Negative,Bonfire
feel knowing you’re never gonna another womanagain huh knowing you’re gonna wake face everyday youfinally sweet release death,Negative,Hurricane
whywhy would go bedroom,Negative,Heaven and Hell - 2008 Remaster
uh that’s eighteenth century indian artifact calcutta,Negative,Hall of Fame (feat. will.i.am)
oh god oh god i’m sorry,Negative,Heaven and Hell - 2008 Remaster
think knock daughter marry heri’m gonna kill,Negative,Nightmare
come explain geller first get rachelpregnant,Negative,Chop Suey!
oh really that’s daughter means nothing,Negative,I Don’t Wanna Live Forever (Fifty Shades Darker)
sir umm means lot mean care—ii loverachel,Negative,Heaven and Hell - 2008 Remaster
oh really that’s treat friend get trouble andthen refuse marry,Negative,Hurricane
well spend time tramp,Negative,Duality
i’m sorry dr green mona mona dr green,Negative,Kaer Morhen
can’t believe naked hooker,Negative,All We Know
wait wait maybe she’s hooker,Negative,Heaven and Hell - 2008 Remaster
funny maybe birthday she’ll murder someone,Negative,Collar Full
bet ross mean conveniently busy,Negative,Chop Suey!
oh actually i’d rather you…yeah go ahead we’re gonnahave burn room anyway,Negative,Bad Liar
figured you’d get wanted dumpher like dumped rachel,Negative,Duality
iiii—i need need lie,Negative,Monster
oh god stu ii can’t believe youabsolutely sure she’s hooker,Negative,Radioactive
maybe meant get hooker,Negative,Bleed
maybe wants learn something huh anythingyou’re really bad y’know sexually,Negative,Chop Suey!
worst bachelor party ever,Negative,Killing In The Name
what’s taking boys long,Negative,I Bet My Life
right right maybemaybe ask leave,Negative,Toxicity
don’t think we’ve actually done,Negative,Trndsttr
oh sure—and hey don’t get wrong happy guysi just…i miss…hanging out…justjust us y’know,Negative,Someone You Loved
ross i’m sorry okay ii promise straighten thisout tomorrow person via email,Negative,Lose Yourself
don’t care dad care mona nowshe’s totally freaked,Negative,Monster
oh okay i’ll fix what’s email address,Negative,New Rules
that’s call fight come abreak weren’t happened two,Negative,Toxicity
oh good you’re yeah worried going beuncomfortable,Negative,Alors on danse - Radio Edit
y’know iii just…i don’t want get middle ofsomething complicated,Negative,Toxicity
i’m sure yet didn’t tell,Negative,Bleed
what’s going rachel nothing feelabout,Negative,Don't Panic
yeah well still shoulda told,Negative,Chop Suey!
know going thought better heard itfrom rachel’s father look i…i made mistake it’s ireally really like really,Negative,Nearly Witches (Ever Since We Met...)
swear didn’t know hooker mean wh—did lether smoke,Negative,Bleed
ass print still grandmother’s quilt reallywant talk smoking,Negative,Killing In The Name
what’s final head count baby shower,Negative,Sandstorm
also sisters called neither make,Negative,Middle Of A Breakup
mean they’re coming social event wherethere’s men there’s booze that’s shocking don’t careas long mom’s,Negative,All We Know
well given forgot invite would awfully bigcoincidence,Negative,Toxicity
well wasn’t fault phoebe charge invitations,Negative,Symphony Of Destruction - Remastered 2012
know daughter’s told received theirimpromptu invitations month ago,Negative,Toothbrush
yeah i’m sorry i’mi’m sorry,Negative,Don't Let The Light Go Out
oh can’t go i’m practicing got audition thehost new game show,Negative,The Ballad of Mona Lisa
audition’s couple hours don’t even understandthe game,Negative,Attention
okay guess lose junior high girls time,Negative,Royals
yeah isn’t cool name,Negative,Temperature
said little bit ross chandler,Negative,Bad Liar
it’s bagota close enough either pass turnto ross pick wicked wango card,Negative,Royals
know let’s see one moment please umm weare wicked wango card determines whether go higher lower,Negative,Nearly Witches (Ever Since We Met...)
i’m sorry don’t believe contestants allowed talk toeach,Negative,Bad Liar
ordered stripper shower totally inappropriate,Negative,Unsainted
yeah know isn’t great one less person make smalltalk,Negative,Unsainted
phoebe sandra’s mad itit doesn’t bother,Negative,Bleed
look we’ve apologized twice can’t anymore thati know hate people mad okay,Negative,Killing In The Name
look face like high school ididn’t know better i’d say cheerleader trouble come onlet’s get tea,Negative,Flashback
oh look three weeks go picked yournanny yet don’t want use housekeeper ‘cause would justsplit focus,Negative,Play with Fire (feat. Yacht Money)
oh well actually gonna use nanny uh don’t even ahousekeeper,Negative,The Sound of Silence
it’s like you’re cave person rachel must get ananny don’t know overwhelming going mean ababy full time help mrs kay,Negative,Nearly Witches (Ever Since We Met...)
right ross you’re lead would like take anotherquestion spin wheel mayhem,Negative,Smooth Criminal - 2012 Remaster
okay gonna tough hold breath,Negative,Don't Panic
okay fear suffer phobiatris…holy cow that’s big word trisc… seriously look thingchandler say,Negative,goosebumps
wait minute ii believe i’m entitled use angel pass afree turn,Negative,Royals
y’know you’re upset you’re losing,Negative,Symphony Of Destruction - Remastered 2012
oh come ross think we’re losers,Negative,I Write Sins Not Tragedies
right chandler either spin wheel pick google card,Negative,The Ballad of Mona Lisa
let think let think—oh don’t care,Negative,Toxicity
don’t think contestants supposed speak eachother,Negative,Toxicity
wants move ross help take care baby,Negative,Young Dumb & Broke
eight weeks mean love mother god long lunch heris taxing,Negative,Pull Me Under
well don’t want mother move tellher,Negative,Astronaut In The Ocean
well uh don’t gift wasn’t inviteduntil last minute thank much bringing everyone’sattention,Negative,I Write Sins Not Tragedies
less important people let’s open presents,Negative,Levitating
mom that’s okay didn’t get gift,Negative,Yellow
hamster going vacuum baby,Negative,Bleed
okay come rach it’s present time y’know you’re theglue that’s holding whole party together it’s kinda falling apart,Negative,One of the Drunks
oh dispenses clean diapers,Negative,We Are Young (feat. Janelle Monáe)
it’s put dirty ones,Negative,Build God
well that’s gross don’t take outside andthrow dumpster,Negative,B.Y.O.B.
plus planning baby you’retrotting garbage ten times day,Negative,Chop Suey!
correct forgot switch legs questions nohopping bonus,Negative,Young Dumb & Broke
umm you’re gonna stay long need,Negative,Ride
oh mom swear i’m idiot i’ve read kinds bookson pregnancy giving birth ii didn’t think read part whatto baby comes andand guess baby’s coming idon’t know oh throw diaper genie,Negative,Heaven and Hell - 2008 Remaster
correct would like pick wicked wango card spin wheelof mayhem,Negative,Sandstorm
uh joey didn’t agents give revised rules we’veeliminated wheel cards,Negative,New Rules
uh well game complicated research showed peopledidn’t follow,Negative,Bad Liar
yeah that’s gone it’s basically simple question andanswer game,Negative,Toxicity
well what’s fun expect host boringgame that’s people standing around answering questions,Negative,Killing In The Name
well we…we don’t garage,Negative,Middle Of A Breakup
say garage meant garbage,Negative,Chop Suey!
well rachel needs help baby,Negative,Calm Down
really don’t know anything,Negative,Bad Liar
oh pheebs monica know anything babies,Negative,Painkiller
well uh y’know even doesn’t know anything ihave son mother didn’t live together whenever itook care time,Negative,New Rules
another woman control ross,Negative,Symphony Of Destruction - Remastered 2012
that’s different issue uh point baby comes iwill to…to feed bathe change wantto things,Negative,Symphony (feat. Zara Larsson)
well really don’t need live,Negative,Ain't No Rest for the Wicked
yes yes you’re gonna missed,Negative,Party Monster
oh nononono sweetheart stay put i’ll let outit’s like i’m almost wasn’t,Negative,New Rules
yeah mean want say anything i’d tell,Negative,The Pot
yeah couldcouldcould get something drink,Negative,In Waves
full dry back loose covers,Negative,Don't Panic
check it’s wet check it’s hungry burp,Negative,Let Me Love You
card card pick card,Negative,Dance Off (feat. Idris Elba & Anderson .Paak)
wait ii said leave,Negative,Sugar
yeah know good words get getit’s,Negative,Far Too Young to Die
phoebe come thats silly,Negative,Royals
phoebe come finish later cause wanna go runningbefore gets dark oh dont come,Negative,Someone In The Crowd
wait minute took words,Negative,New Rules
didnt nail boxes floor,Negative,Toxicity
didnt know well pretty last name,Negative,Savage Love (Laxed - Siren Beat)
well think ill go unpack,Negative,Calm Down
joey even interview woman asked move,Negative,Bad Liar
ugh cannot wait ask,Negative,Sandstorm
wait minutejoey joey cant ask shes roommateititll way complicated,Negative,Chop Suey!
right think remember going withthat girl donna guys broke remember horrible guys bumpedinto supermarket,Negative,Bohemian Rhapsody
yeah better watch flirting cause know suchclose quarters could trouble,Negative,New Rules
well thats gonna tough mon mean hard around anattractive woman flirt,Negative,Animals
tie shoe go ahead ill catch,Negative,Hall of Fame (feat. will.i.am)
guys im telling runs looks like cross betweenkermit frog six million dollar man,Negative,Immigrant Song - Remaster
monica crush yeah used kiss poster everynight went bed,Negative,PILLOWTALK
phoebe runs weird huh,Negative,Bleed
yeah yeah know know shes gonna wanna run justdont know get mean live,Negative,Paranoid - 2012 - Remaster
dont straight tell truth,Negative,New Rules
pheebs monica tripped dont think ever run ever,Negative,Cirice
dont know rachel imim sorry hurt ankles,Negative,Nothing Else Matters
yeah bad right know monica’s gonna workinglate im gonna make place spotless know else im gonna know whatelse im gonna im gonna go downstairs im gonna get flowers whowouldnt wanna live,Negative,Paradise
yeah hows going though okay notflirtingthing,Negative,Toxicity
oh sorry stuff hanging mythongs delicate dryer,Negative,Free Bird - Edit
phoebe wasno know actually justchecking see could run,Negative,Organ Variation
get monicas authorization move stuff,Negative,Bad Liar
authorization dont need im gonna put everything back,Negative,Whatever It Takes
shes gonna care put stuff back stupid place,Negative,B.Y.O.B.
hmm know actually thisll work well cause moveback joey joeys hot new roommate come live,Negative,Snow (Hey Oh)
see see yyyoure trying freak,Negative,Monster
look chandler monica really weird kind stuff rightbelieve lived 16 years going freak…out oh godshes going sit,Negative,Monster
terrible ifif want something done right myselfother people wreck stuff really think might kill someone tonight,Negative,Nightmare
oh come come cant bad,Negative,Chop Suey!
worse thing thats getting knowing imgonna seeing soon think may even try get early,Negative,Run Boy Run
nononononono sounds like really need,Negative,Middle Of A Breakup
yeah thatthat doesnt look right,Negative,Toxicity
whoa whoa back couch wont line back ofthe carpet,Negative,Chop Suey!
yes coffee table doesnt matchtheblahebdmsdlkhdyslkdbtydsrooosss,Negative,Chop Suey!
nonono ive seen happen youyou get rapport going woman butsomehow manage kill whats secret,Negative,Middle Of A Breakup
look repel women ok completely untrue,Negative,Royals
oh yes man remember back college wewent spring dance walked right girl liked could notstop talking irish potato famine,Negative,Sweet Home Alabama
yeah well werent know hot college eitherafter everything said hed go ba dum bum chessh,Negative,Duality
yeah monica doesnt like either maybe stop,Negative,Bad Liar
oh yknow girls dont like start talking science,Negative,Bleed
uh dont like correct grammar,Negative,Friction
dont like explain jokes funny,Negative,Sugar
well ii shouldve told truth,Negative,Build God
well embarrassing people looking us like crazy,Negative,I Bet My Life
people dont know never see,Negative,B.Y.O.B.
ii uptight—heyheyheyohoh listen uptightman,Negative,Bleed
yeahyeah uh uh guy problem,Negative,Bad Liar
look uh come later well get everything squared away youcan come back later,Negative,Astronaut In The Ocean
okay listen theres still chandlers medicine sinkin bathroom bye,Negative,Don't Panic
look time okay must focus gotta get everythingback original place,Negative,Psychosocial
sure listen gonna order pizza wanna share one,Negative,C'mon - Single Version
pizza heh like never beforeba dum bum cheshhh,Negative,Roots
im telling ya imagine living supermarket andyou understand okay question,Negative,Rock You Like A Hurricane
see dont care people staring secondcause youre gone,Negative,Moves Like Jagger
well end table wrong couch looks bizarre dont even getme started refrigerator magnets,Negative,B.Y.O.B.
okay look dontdont mad okay unpacked boxes iwanted something nice iii cleaned apartment movedeverything around forgot went back im sorry im verysorry im sorry im sorry,Negative,Chop Suey!
okay chandler afraid something,Negative,Monster
course mean gosh chandler awonderful thing really appreciate know weird thing wanteverything perfect place id never expect worry,Negative,Young Dumb & Broke
said year 2030 therell computers carry outthe number functions actual human brain theoretically could downloadour thoughts memories computer,Negative,Sandstorm
thats janine youyouyou know know rightnow interfacing,Negative,Rock You Like A Hurricane
ba dum bumb cheshhh,Negative,We Are Young (feat. Janelle Monáe)
yeah know theres baby suckin,Negative,I Write Sins Not Tragedies
carol wondering joey could ask question aboutbreastfeeding,Negative,Don't Panic
ok got one got one uh blows one one getbigger,Negative,Bleed
oh youre busy thats ok ill get anybody else want one,Negative,Lose Yourself
cant take grandmother vet,Negative,Don't Let The Light Go Out
ok um ill go,Negative,Cotton Eye Joe
monica kill kill like dog street,Negative,Blackwater Park
nobody knows name girls call hombre man,Negative,No Time for Caution
listen know youre new kinda understood everything fromyoung mens escalator territory,Negative,Astronaut In The Ocean
um went shopping um fur,Negative,Bleed
thanks aunt pheebs hey didnt microwave itsbreast milk youre supposed,Negative,Bleed
phoebe juice squeezed person,Negative,Bleed
ok would people stop drinking breast milk,Negative,Bleed
even carols breast picture missing child,Negative,Heaven and Hell - 2008 Remaster
mon uh lunch alone come cost uh 53dollars,Negative,Chop Suey!
know probably happened someone musta stolen credit card,Negative,Toxicity
sorta put receipt back pocket,Negative,New Rules
look started trying nice shewas brothers girlfriend one thing led another knew wewereshopping,Negative,Sugar
honey wait didnt mean anything,Negative,The Hills
really rachel thinking whole time look im sorryall right never meant find,Negative,I Bet My Life
oh sort happened leave,Negative,Toxicity
ever occur might stupid,Negative,Ain't No Rest for the Wicked
oh tasted bens milk ross freaked,Negative,Radioactive
youre damn right im right say show guy youre madeof say stand ground say show baddest hombre westof lingerie,Negative,You're Gonna Go Far
dont know else say,Negative,Bleed
oh im sorry back hurt knife,Negative,Lose Yourself
idiot stupid cowboy blinded im suing,Negative,Symphony Of Destruction - Remastered 2012
oh god todd hell,Negative,In Waves
im sorry doofus im sorry im sorry,Negative,Don't Let The Light Go Out
new kids never last sooner later allstop lastinlisten uh say buy cup coffee,Negative,Nearly Witches (Ever Since We Met...)
thought two us hang bit mean youknow weve never really talked guess youd know one two usthough right,Negative,Cotton Eye Joe
know probably shouldnt even tell im pretty muchtotally intimidated,Negative,Cirice
yes oh god kidding ross crazy reallywanted like probably totally paranoid kinda got thefeeling maybe dont,Negative,Middle Of A Breakup
well youre totally paranoid,Negative,Lose Yourself
um ok uh oh god um uh ross first started going itwas really hard um many reasons im gonna bore butum see happy know good guys together ummonicas always saying nice god hate shes right,Negative,I Bet My Life
id love shoot gotta go ill talk later,Negative,Blinding Lights
yeah print jokes interviews hardhitting journalism it’s notjust pictures,Negative,Not Afraid
didn’t work mom it’s going work us,Negative,New Rules
look chandler it’s joke hey makes feel anybetter don’t print name doesn’t really matter gets creditright,Negative,I Bet My Life
it’s joke it’s mine call they’lltell,Negative,American Idiot
whoawhoawhoa jokes guys know naked chicks thereright,Negative,Cake By The Ocean
nah monica’s watching cooking show come don’twant miss skinny,Negative,Viva Las Vengeance
uh oh uh haven’t really paid bill,Negative,Bleed
think pictures—are trying tell astory,Negative,Heaven and Hell - 2008 Remaster
oh yeah sure mean like case young woman haslost clothes rides naked horse she’s crying ‘where arethey they’,Negative,Middle Of A Breakup
well she’s going find lying grass like,Negative,Kaer Morhen
oh yeah aw remember days used go barnlift shirt bend,Negative,Nothing Else Matters
okay i’ve got question pick one us datewho would,Negative,Smooth Criminal - 2012 Remaster
forget many great songs heart,Negative,Young Dumb & Broke
heard repeated must mean wrote,Negative,New Rules
oh guys joke gotta say know cracked buti’m even sure got,Negative,Then We'll Talk
didn’t get doctor monkey,Negative,Chop Suey!
monkeys can’t write prescriptions,Negative,Bleed
joke well think ‘the hef’ would disagree whyhe sent check one hundred ahdollars,Negative,You Just Haven't Thought of It Yet
stole joke stole money,Negative,Duality
well going know stole joke,Negative,Bleed
ah gunther can’t pay right i’m notworking i’ve cut luxuries like uh payin’ stuff,Negative,Ain't No Rest for the Wicked
uh don’t know ya see it’s see regular asoap opera y’know go just… plus i’d towait friends,Negative,Bad Liar
maybe could waiter could use phone,Negative,Lose Yourself
it’s wrong know else wrong phoebe picking rachel,Negative,Duality
know else picked rachel ross know else rossdid stole joke know i’m going get joke journal y’knowand document date time every single one jokes,Negative,Sugar
know what’s bad idea,Negative,Free Bird - Edit
maybe it’s sound ross climbing brain stealingmy thoughts,Negative,Heaven and Hell - 2008 Remaster
fine reason leaning little bit toward rachel thanyou you’re … … kinda high maintenance—okaylet’s go lunch,Negative,Attention
completely untrue think i’m high maintenance okayprove want make list we’re going go point point,Negative,American Idiot
wait minute saying i’m pushoveri’m pushover,Negative,Chop Suey!
i’m sick japanese we’re going,Negative,All We Know
yeah thatthat chandler cracks,Negative,A Million Dreams
hey ross listen want anything drink ‘cause i’m headingup,Negative,Starboy
joey honey don’t think you’re supposed go back,Negative,Kaer Morhen
don’t wink put apron,Negative,Killing In The Name
okay don’t see asking paying customers put onaprons,Negative,Toxicity
joey what’s going didn’t tell us work,Negative,Toxicity
it’s kind embarrassing y’know mean actor andnow i’m waiter it’s supposed go direction,Negative,New Rules
apron you’re wearing like cape,Negative,Savage Love (Laxed - Siren Beat)
mean job’s easy money’s good know guessi’m going hanging anyway might well get paid right ijust feel kind weird serving guys,Negative,Bleed
yeah would weird hey joey get coffee,Negative,Hall of Fame (feat. will.i.am)
okay guess doesn’t seem weird,Negative,Young Dumb & Broke
seriously ii asked still haven’t gotten,Negative,Sugar
oh i’m sorry ross i’ll get right since imade wait i’ll toss free muffin,Negative,Paradise
maybe little high maintenance maybe rachel littlebit pushover know decided,Negative,B.Y.O.B.
yes sorry tell phoebe flaky,Negative,Then We'll Talk
oh i’m flaky i’ll say anything,Negative,New Rules
hey gunther uh cover got audition,Negative,Enemy (with JID) - from the series Arcane League of Legends
i’m leaving get hair dyed,Negative,LA Devotee
really like natural color come man it’s great partlook check i’m lead guy’s best friend wait thisbar save seat listenlisten ‘i’m sorry seat’s saved’,Negative,Dance Off (feat. Idris Elba & Anderson .Paak)
oh man could totally get part ‘i’m sorry seat istaken’,Negative,There's a Good Reason These Tables Are Numbered Honey
didn’t mean believed huh,Negative,Toxicity
y’know don’t think we’re going settle,Negative,Bad Liar
we’ll tell came joke decidewhich one us telling truth—me,Negative,The Ballad of Mona Lisa
idiots joke funny it’s offensive towomen doctors monkeys shouldn’t arguing gets credit youshould arguing gets blamed inflicting horrible joke upon worldnow let go joke sucks,Negative,B.Y.O.B.
hey it’s phoebe rachel um don’t tell whatyou telling earlier high maintenance,Negative,Fivio Foreign & Darkoo]
wow know best fake speech think i’ve everheard,Negative,Immigrant Song - Remaster
really i’ve heard better,Negative,New Rules
wait wait came tell chandler,Negative,Dance Off (feat. Idris Elba & Anderson .Paak)
look high maintenance chandler,Negative,New Rules
well audition gunther said stay incharge could go get hair dyed went anyway fired,Negative,Rolling in the Deep
left work middle day personal errand leftyou charge you’ve working two days that’s that’snot right,Negative,B.Y.O.B.
hey never got hear guys would pick girlfriend,Negative,Someone In The Crowd
hey oh question ififif one pick one theother two guys go would pick,Negative,Attention
well that’s way sell newspapers don’t tryextra extra read,Negative,There's a Good Reason These Tables Are Numbered Honey
yeah y’know say mon there’s thingas bad press,Negative,It's My Life
yeah yeah monica listen okay i’m sayingthis i’m friend i’m sayin’ ‘cause it’s thetruth you’re food abysmal,Negative,American Idiot
okay look lot water went bed thisafter…,Negative,Toxicity
umm situation y’know umm mean imean wewe’re baby together live together isn’t thatisn’t weird,Negative,Monster
job interview get ready,Negative,LA Devotee
people say don’t pay attention much betterjob it’s vicepresident company data reconfiguration statisticalfactoring companies,Negative,Moves Like Jagger
teaches course food criticism new school beforewe go movies wanna go make try bouillabaisse oh icannot wait read front page post tomorrow restaurant reviewer admitsi wrong monica,Negative,Smooth Criminal - 2012 Remaster
front page really live little worlddon’t ya,Negative,Free Bird - Edit
uh want things delivered mr mrs geller,Negative,Don't Panic
oh yeah actually that’s one reasons we’re acouple,Negative,Hips Don't Lie (feat. Wyclef Jean)
oh oh yeah don’t get worked mean itit soundslike he’s doctor he’s,Negative,Bad Liar
oh god i’m standing cash register holding credit cardand i’m bored,Negative,Psychosocial
oh great got everything needed oh ross almostgot something wasn’t list whore,Negative,Cake By The Ocean
well know two weren’t married,Negative,Bleed
oh god well idea woman flirting awith single manwewe must alert church elders,Negative,Heaven and Hell - 2008 Remaster
don’t understand didn’t see brazen,Negative,Friction
sounds like you’re little jealous,Negative,Build God
i’m iii think it’s wrong it’sit’sthat i’m—here pop he’s picking shop girl atsluts ‘r’ us,Negative,Eye For an Eye
well got job interview it’s kinda big deal lotmore money i’d data reconfiguration statistical factoring,Negative,Calm Down
wait think know someone,Negative,The Ballad of Mona Lisa
yeah don’t get hopes,Negative,Middle Of A Breakup
y’know don’t make good first impression,Negative,Killing In The Name
well it’s like you’re trying hard always makingjokes y’know just—you come little needy,Negative,Bad Liar
think things said really unfair wouldlike give bouillabaisse another chance,Negative,Demons
don’t see reason would myselfagain,Negative,Bad Liar
well umm egg yolk butter base bearnaise hasshallots shirvel importantly tarragon,Negative,I Made It
ah must’ve fairly obvious since thing left inyour store,Negative,Astronaut In The Ocean
oh umm actually umm…,Negative,Then We'll Talk
can’t even believe really come badly,Negative,All We Know
fettuccini alfredo looks little dry use allyour cheese,Negative,Sugar
say used mean eat precooking snack,Negative,Bleed
oh don’t know anything cooking ask someonewhat it’s called water makes little bubbles,Negative,Nearly Witches (Ever Since We Met...)
iii’m sorry youryour mouth full didn’t hear whatyou said umm hats,Negative,Chop Suey!
umhmm that’s good know let’s stop focusing whatyou don’t start focusing,Negative,Royals
hardest thing i’ve ever done life,Negative,Ain't No Rest for the Wicked
excuse doesn’t even know he’s,Negative,Duality
we’re beginners nobody knows whatthey’re,Negative,Painkiller
i’mi’m sorry it’s umm… well ii cook atthis restaurant alessandro’s umm got really bad review…,Negative,Middle Of A Breakup
whoawhoawhoawhoa don’t want go i’m fun,Negative,Blinding Lights
let’s talk little bit duties,Negative,I Dunno (feat. Dutchavelli & Stormzy)
there’ll perhaps 30 people candump certain amount,Negative,Whatever It Takes
oh god doesn’t count okay interview thatwas real chandler bing crazy guy hall callsecurity there’s crazy guy hall,Negative,Nightmare
oh uhhuh uhhuh coffee little rubrubrub table,Negative,Someone In The Crowd
she’s—she nice mean she’s littleslutty isn’t,Negative,Radioactive
get like fresh batch pregnancy hormones today,Negative,Sugar
yes want go idon’t want go anybody okay know it’s terrible thing toeven think it’s completely inappropriate want myconstant beck call 24 hours day i’m sorry way thati feel,Negative,Pull Me Under
won’t date i’ll uh i’ll thetime,Negative,Up&Up
true you’re allowed unreasonable you’re ourbaby,Negative,Señorita
live together you’re baby i’m gonna seeanybody else youare sure don’t want something,Negative,Symphony (feat. Zara Larsson)
right let’s start basics anybodytell difference upstage downstage,Negative,No Time for Caution
yeah time old condom ring leather justdoesn’t say ‘cool’ anymore,Negative,Disintegration - 2010 Remaster
put empty carton back fridge,Negative,Duality
oh yeah know garbage full,Negative,Toxicity
you’re clogging chute spent halfhourunclogging,Negative,B.Y.O.B.
i’m sorry didn’t—i don’t come lot,Negative,Free Bird - Edit
oh yeah course don’t,Negative,B.Y.O.B.
think could make mess big man coveralls willcome clean huh well don’t think someone else achange,Negative,Symphony Of Destruction - Remastered 2012
whoawhoa treeger made cry,Negative,The Sound of Silence
joey please don’t think it’s best justforget,Negative,Bad Liar
that’s easy say weren’t almost killed,Negative,Paranoid - 2012 - Remaster
oh yeah gym member try go four times week i’vemissed last 1200 times,Negative,Middle Of A Breakup
don’t think i’ve tried think,Negative,Toxicity
need go hold hand,Negative,Royals
tribbiani hold i’ll get plunger,Negative,Animals
hey hold pal made friend rachel cry nowyou’re gonna go apologize unless want call thelandlord,Negative,Hurricane
heard little something called making girls cry,Negative,Old Town Road
